,1003764,1005085,1005086,1005087,1005088,1005089
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
挡位个数,5,5,5,5,5,5
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱,中置后驱
前悬架类型,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂
后悬架类型,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧,纵置钢板弹簧
助力类型,电动助力,液压助力,液压助力,液压助力,无助力,无助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,盘式,盘式,盘式,盘式,盘式,盘式
后制动器类型,鼓式,盘式,盘式,盘式,鼓式,鼓式
前轮胎规格,175/65 R14,175/65 R14,175/65 R14,175/65 R14,175/65 R14,175/65 R14
后轮胎规格,175/65 R14,175/65 R14,175/65 R14,175/65 R14,175/65 R14,175/65 R14
发动机型号,-,-,-,-,-,-
排量(mL),1173,1173,1173,999,1173,999
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
气缸排列形式,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4
压缩比,10,10,10,9.5,10,9.5
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-
行程(mm),-,-,-,-,-,-
最大马力(Ps),80,80,80,68,80,68
最大功率(kW)_y,59,59,59,50,59,50
最大功率转速(rpm),6000,6000,6000,6000,6000,6000
最大扭矩(N·m)_y,106,106,106,92,106,92
最大扭矩转速(rpm),3500-4500,3500-4500,3500-4500,3500-4500,3500-4500,3500-4500
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,92号,92号,92号,92号,92号,92号
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
缸盖材料,铝,铝,铝,铝,铝,铝
缸体材料,未知,未知,未知,未知,未知,未知
环保标准,国IV/国V,国V,国V,国V,国V,国V
电机类型,-,-,-,-,-,-
电动机总功率(kW),-,-,-,-,-,-
电动机总扭矩(N·m),-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-
前电动机最大扭矩(N·m),-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-
后电动机最大扭矩(N·m),-,-,-,-,-,-
驱动电机数,-,-,-,-,-,-
电机布局,-,-,-,-,-,-
电池类型,-,-,-,-,-,-
工信部续航里程(km),-,-,-,-,-,-
电池容量(kWh),-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-
电池组质保,-,-,-,-,-,-
电池充电时间,-,-,-,-,-,-
快充电量(%),-,-,-,-,-,-
