Feature,31301,31614,31615,31616,31617,36654,36655,36656,36657,36658
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●
车内氛围灯,●,○,●,●,●,○,●,●,●,●
车内中控锁,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-
行李厢容积(L),540,540,540,540,540,540,540,540,540,540
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,○,○,●,●,○,○,●,●,●
自适应巡航,○,○,○,○,○,○,○,○,○,○
自动驻车,-,-,-,-,-,-,-,-,-,-
自动泊车入位,○,○,○,○,○,○,○,○,○,○
自动头灯,●,●,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,●,-,-,○,●,-,-,○,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,●,●,●,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
第二排靠背角度调节,-,-,-,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-,-,-,-
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
空气悬架,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,●,●,●,●,●,●,●,●,●
疲劳驾驶提示,○,-,○,○,○,-,○,○,○,○
电磁感应悬架,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,●,-,●,●,●,-,●,●,●,●
电动天窗,●,●,●,●,●,●,●,●,●,●
电动吸合门,○,○,○,○,○,○,○,○,○,○
电动后备厢,●,○,○,○,●,○,○,○,●,●
环保标准,国V,国V,国V,国V,欧V,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,●,●,●,●,●,●,●,●,●,●
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-
油箱容积(L),74,74,74,74,74,74,74,74,74,74
气缸数(个),4,4,4,4,6,4,4,4,4,4
气缸排列形式,L,L,L,L,V,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4
最高车速(km/h),-,-,-,-,-,230,230,240,240,250
最小离地间隙(mm),108,108,108,108,108,108,108,108,108,108
最大马力(Ps),250,200,200,250,340,200,200,250,250,300
最大扭矩转速(rpm),1300-4500,1200-4000,1200-4000,1300-4500,3500,1200-4000,1200-4000,1300-4500,1300-4500,1500-4500
最大扭矩(N·m)_y,365,320,320,365,450,320,320,365,365,400
最大扭矩(N·m)_x,365,320,320,365,450,320,320,365,365,400
最大功率转速(rpm),5500,5500,5500,5500,6500,5500,5500,5500,5500,5500
最大功率(kW)_y,184,147,147,184,250,147,147,184,184,221
最大功率(kW)_x,184,147,147,184,250,147,147,184,184,221
无钥匙进入系统,●,○,○,●,●,○,○,●,●,●
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘记忆,●,-,●,●,●,-,●,●,●,●
方向盘电动调节,●,●,●,●,●,●,●,●,●,●
方向盘换挡,●,●,●,●,●,●,●,●,●,●
方向盘加热,○,○,○,○,○,○,○,○,○,○
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),-,-,-,-,-,1825,1825,1840,1840,1915
整体主动转向系统,-,-,-,-,-,-,-,-,-,-
排量(mL),1997,1997,1997,1997,2995,1997,1997,1997,1997,1997
挡位个数,8,8,8,8,8,8,8,8,8,8
扬声器品牌,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝,Meridian英国之宝
扬声器个数,≥12喇叭,8-9喇叭,8-9喇叭,≥12喇叭,≥12喇叭,8-9喇叭,8-9喇叭,≥12喇叭,≥12喇叭,≥12喇叭
手机无线充电,-,-,-,-,-,-,-,-,-,-
手机互联/映射功能,-,-,-,-,-,●,●,●,●,●
感应雨刷,●,●,●,●,●,●,●,●,●,●
感应后备厢,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●
座椅材料,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮,真皮
座位数(个),5,5,5,5,5,5,5,5,5,5
并线辅助,●,○,○,○,●,○,○,○,●,●
工信部综合油耗(L/100km),-,-,-,-,-,6.9,6.9,6.9,7.2,7.9
导航路况信息显示,-,-,-,-,-,●,●,●,●,●
宽度(mm),1880,1880,1880,1880,1880,1880,1880,1880,1880,1880
实测油耗(L/100km),-,-,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),38.87,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),8.05,-,-,-,-,-,-,-,-,-
定速巡航,●,●,●,●,●,●,●,●,●,●
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-
安全带未系提示,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,●,●,●,●,●,●,●,●,●,●
夜视系统,-,-,-,-,-,-,-,-,-,-
多天窗,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●,●,●,●
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
四驱形式,-,-,-,-,-,-,-,-,适时四驱,适时四驱
后风挡遮阳帘,●,○,○,○,●,○,○,○,●,●
后雨刷,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1609,1609,1609,1609,1609,1609,1609,1609,1609,1609
后轮胎规格,245/45 R18 ,225/55 R17,245/45 R18 ,245/45 R18 ,245/45 R18 ,225/55 R17,245/45 R18 ,245/45 R18 ,245/45 R18 ,未知
后视镜记忆,●,-,●,●,●,-,●,●,●,●
后视镜电动调节,●,●,●,●,●,●,●,●,●,●
后视镜电动折叠,●,●,●,●,●,●,●,●,●,●
后视镜加热,●,●,●,●,●,●,●,●,●,●
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-
后排独立空调,●,○,○,●,●,○,○,●,●,●
后排液晶屏,●,-,-,○,●,-,-,○,●,●
后排杯架,●,●,●,●,●,●,●,●,●,●
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,○,○,○,○,○,○,○,○,○,○
后排侧遮阳帘,●,●,●,●,●,●,●,●,●,●
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
后座出风口,●,●,●,●,●,●,●,●,●,●
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
可变转向比,-,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
发动机电子防盗,●,●,●,●,●,●,●,●,●,●
发动机特有技术,-,-,-,-,-,-,-,-,-,-
发动机型号,-,-,-,-,-,-,-,-,-,-
发动机启停技术,●,●,●,●,●,●,●,●,●,●
发动机,2.0T 250马力 L4,2.0T 200马力 L4,2.0T 200马力 L4,2.0T 250马力 L4,3.0T 340马力 V6,2.0T 200马力 L4,2.0T 200马力 L4,2.0T 250马力 L4,2.0T 250马力 L4,2.0T 300马力 L4
压缩比,-,-,-,-,-,-,-,-,-,-
厂商指导价(元),49.48万,38.58万,41.58万,45.48万,68.38万,38.58万,41.58万,45.48万,49.48万,59.38万
厂商,奇瑞捷豹路虎,奇瑞捷豹路虎,奇瑞捷豹路虎,奇瑞捷豹路虎,奇瑞捷豹路虎,奇瑞捷豹路虎,奇瑞捷豹路虎,奇瑞捷豹路虎,奇瑞捷豹路虎,奇瑞捷豹路虎
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,●,●,●,●,●,●,●,●,●,●
前雾灯,-,-,-,-,-,-,-,-,-,-
前轮距(mm),1605,1605,1605,1605,1605,1605,1605,1605,1605,1605
前轮胎规格,245/45 R18 ,225/55 R17 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,225/55 R17 ,245/45 R18 ,245/45 R18 ,245/45 R18 ,未知
前桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-
前悬架类型,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架,双叉臂式独立悬架
前大灯雨雾模式,-,-,-,-,-,-,-,-,-,-
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排座椅通风,前●&nbsp;/&nbsp;后●,-,-,前○&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后●,-,-,前○&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排座椅按摩,前-&nbsp;/&nbsp;后○,-,-,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,-,-,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○
前/后排座椅加热,前●&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●
内置行车记录仪,-,-,-,-,-,-,-,-,-,-
内/外后视镜自动防眩目,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●,内●&nbsp;/&nbsp;外●
全液晶仪表盘,●,-,-,●,●,-,-,●,●,●
全景摄像头,○,○,○,○,○,○,○,○,○,○
全景天窗,●,●,●,●,●,●,●,●,●,●
倒车视频影像,●,○,●,●,●,○,●,●,●,●
侧滑门,-,-,-,-,-,-,-,-,-,-
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
主动降噪,-,-,-,-,-,-,-,-,-,-
主动刹车/主动安全系统,●,●,●,●,●,●,●,●,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控液晶屏分屏显示,-,-,-,-,-,-,-,○,○,○
中控台彩色大屏尺寸,10.2英寸,8英寸,8英寸,10.2英寸,10.2英寸,10.2英寸,10.2英寸,10.2英寸,10.2英寸,10.2英寸
中控台彩色大屏,●,●,●,●,●,●,●,●,●,●
中央差速器锁止功能,-,-,-,-,-,-,-,-,-,-
中央差速器结构,-,-,-,-,-,-,-,-,待查,待查
上市时间,2017.09,2017.09,2017.09,2017.09,2017.09,2018.11,2018.11,2018.11,2018.11,2018.11
上坡辅助,●,●,●,●,●,●,●,●,●,●
LED日间行车灯,●,●,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●
HUD抬头数字显示,○,-,-,○,○,-,-,○,○,○
GPS导航系统,●,○,●,●,●,○,●,●,●,●
CD/DVD,-,-,-,-,-,(选装单碟DVD),(选装单碟DVD),(选装单碟DVD),(选装单碟DVD),(选装单碟DVD)
ABS防抱死,●,●,●,●,●,●,●,●,●,●
220V/230V电源,-,-,-,-,-,-,-,-,-,-
