Feature,1012298,1012299,1012303,1012304,1012305,1012306,1012307,1012308,1012309,1012310,1012311,1012315,1012316,1012317,1012318,1012319,1012320,1012321,1012322,1012323,1012324,1012325,1014191,1014192,1014193,1014194,1014195,1014196,1014197,1014544,1014545,1014546,1014547,1014548,1014549,1014550,1014551,1014552,1015206,1015235,1015236,1015237,1015797,1015798,1015799,1015800,1015801,1015802,1015803,1015804,1015805,1015806,1015807,1015808,1015809,1015810,1015811,1015812,1015813,1015814,1015815,1015816,1015817,1015818,1015819,1015820,1015821,1015822,1015823,1015824,1015825,1015826,1015827,1015828,1015829,1015830,1015831,1015832,1015833
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3310,3310,2800,2800,2800,2800,2800,2800,3310,2800,2800,2800,2800,2800,2800,2800,2800,3310,3310,3310,3310,2800,3310,3310,3310,3310,3310,2800,3310,3310,3310,3310,3310,2800,2800,2800,3310,3310,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,3310,3310,2800,3310,3310,2800,2800,2800,2800,2800,2800,2800,3310,3310,3310,3310,2800,2800,2800,2800,2800,2800,2800,2800,3310,3310,3310,3310,3310,3310
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,5,4,4,5,4,4,5,4,4,4,4,4,5,4,4,5,4,5,2,3,2,3,2,4,5,2,2,3,3,2,4,5,4,4,5,4,5,5,4,4,2,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,5,4,5,4,5,4,5,4,4,4,4,4,5,4,5,4,5,4,5,2,3
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车,货车,货车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,依维柯得意 2021款 2.5T A40 M1客车5-9座长轴中顶双胎手动门,依维柯得意 2021款 2.5T A40 M1客车5-9座长轴中顶双胎侧拉门,依维柯得意 2021款 2.5T A35 M1客车5-9座短轴低顶单胎手动门,依维柯得意 2021款 2.5T A35 M1客车5-9座短轴中顶单胎手动门,依维柯得意 2021款 2.5T A35 M1客车5-9座短轴中顶单胎侧拉门,依维柯得意 2021款 2.5T A35 M1客车5-9座短轴低顶双胎手动门,依维柯得意 2021款 2.5T A35 M1客车5-9座短轴中顶双胎手动门,依维柯得意 2021款 2.5T A35 M1客车5-9座短轴中顶双胎侧拉门,依维柯得意 2021款 2.8T A40 M2客车10-17座长轴中顶双胎手动门,依维柯得意 2021款 2.8T A35 M2客车10-11座短轴中顶双胎手动门,依维柯得意 2021款 2.8T A35 M2客车10-11座短轴中顶单胎手动门,依维柯得意 2021款 2.8T V35 VAN厢式运输车3座短轴低顶双胎手动门,依维柯得意 2021款 2.8T V35 VAN厢式运输车3座短轴中顶双胎手动门,依维柯得意 2021款 2.8T V35 VAN厢式运输车3座短轴中顶双胎侧拉门,依维柯得意 2021款 2.8T V35 VAN厢式运输车3座短轴低顶单胎手动门,依维柯得意 2021款 2.8T V35 VAN厢式运输车3座短轴中顶单胎手动门,依维柯得意 2021款 2.8T V35 VAN厢式运输车3座短轴中顶单胎侧拉门,依维柯得意 2021款 2.8T V40 VAN厢式运输车3座长轴中顶双胎手动门,依维柯得意 2021款 2.8T V40 VAN厢式运输车3座长轴中顶双胎侧拉门,依维柯得意 2021款 2.8T X45-33二类底盘3座单排长轴双胎,2021款 2.8T XS45-33二类底盘6座双排长轴双胎,依维柯得意 2021款 2.8T X45-28二类底盘3座单排短轴双胎,依维柯得意 2021款 2.5T XS45-33二类底盘6座双排长轴双胎,依维柯得意 2021款 2.5T X45-33二类底盘2-3座单排长轴双胎,依维柯得意 2021款 2.5T M1专用平台车5-9座长轴中顶双胎手动门,依维柯得意 2021款 2.5T M1专用平台车5-9座长轴中顶双胎侧拉门,依维柯得意 2021款 2.8T CAB专用平台车二类底盘2-3座单排长轴双胎,依维柯得意 2021款 2.8T CAB专用平台车二类底盘2-3座单排短轴双胎,依维柯得意 2021款 2.8T CAB专用平台车工程车底盘6座双排长轴双胎,依维柯得意 2021款 2.5T XS45-33 二类底盘2-3座双排长轴双胎,依维柯得意 2021款 2.5T X45-33 二类底盘2-3座单排长轴双胎,依维柯得意 2021款 2.5T V40 2-3座长轴中顶双胎手动门,依维柯得意 2021款 2.5T V40 2-3座长轴中顶双胎侧拉门,依维柯得意 2021款 2.5T V35 2-3座短轴低顶双胎手动门,依维柯得意 2021款 2.5T V35 2-3座短轴中顶双胎手动门,依维柯得意 2021款 2.5T V35 2-3座短轴中顶双胎侧拉门,依维柯得意 2022款 2.5T A37 M1客车 5-9座长轴中顶双胎手动门,依维柯得意 2022款 2.5T A37 M1客车 5-9座长轴中顶双胎侧拉门,2023款 2.5T A35M1客车短轴中顶单胎侧拉门5-9座,2023款 2.8T A35M2客车短轴中顶单胎手动门10-11座,2023款 2.8T V35厢式运输车短轴低顶单胎手动门2-3座,2023款 2.5T X45-28单排二类底盘短轴双胎2-3座,2023款 2.5T A35M1客车短轴低顶单胎手动门5-9座,2023款 2.5T A35M1客车短轴低顶双胎手动门5-9座,2023款 2.5T A35M1客车短轴低顶单胎侧拉门5-9座,2023款 2.5T A35M1客车短轴低顶双胎侧拉门5-9座,2023款 2.5T A35M1客车短轴中顶单胎手动门5-9座,2023款 2.5T A35M1客车短轴中顶双胎手动门5-9座,2023款 2.5T A35M1客车短轴中顶双胎侧拉门5-9座,2023款 2.5T A37M1客车长轴中顶双胎手动门5-9座,2023款 2.5T A37M1客车长轴中顶双胎侧拉门5-9座,2023款 2.8T A35M2客车短轴中顶双胎手动门10-11座,2023款 2.8T A37M2客车长轴中顶双胎手动门10-17座,2023款 2.8T A40M2客车长轴中顶双胎手动门10-17座,依维柯得意 2023款 2.8T V35厢式运输车短轴低顶双胎手动门2-3座,依维柯得意 2023款 2.8T V35厢式运输车短轴低顶单胎侧拉门2-3座,依维柯得意 2023款 2.8T V35厢式运输车短轴低顶双胎侧拉门2-3座,依维柯得意 2023款 2.8T V35厢式运输车短轴中顶单胎手动门2-3座,依维柯得意 2023款 2.8T V35厢式运输车短轴中顶单胎侧拉门2-3座,依维柯得意 2023款 2.8T V35厢式运输车短轴中顶双胎手动门2-3座,依维柯得意 2023款 2.8T V35厢式运输车短轴中顶双胎侧拉门2-3座,依维柯得意 2023款 2.8T V37厢式运输车长轴中顶双胎手动门2-3座,依维柯得意 2023款 2.8T V37厢式运输车长轴中顶双胎侧拉门2-3座,依维柯得意 2023款 2.8T V40厢式运输车长轴中顶双胎手动门2-3座,依维柯得意 2023款 2.8T V40厢式运输车长轴中顶双胎侧拉门2-3座,依维柯得意 2023款 2.5T V35厢式运输车短轴低顶单胎手动门2-3座,依维柯得意 2023款 2.5T V35厢式运输车短轴低顶双胎手动门2-3座,依维柯得意 2023款 2.5T V35厢式运输车短轴低顶单胎侧拉门2-3座,依维柯得意 2023款 2.5T V35厢式运输车短轴低顶双胎侧拉门2-3座,依维柯得意 2023款 2.5T V35厢式运输车短轴中顶单胎手动门2-3座,依维柯得意 2023款 2.5T V35厢式运输车短轴中顶单胎侧拉门2-3座,依维柯得意 2023款 2.5T V35厢式运输车短轴中顶双胎手动门2-3座,依维柯得意 2023款 2.5T V35厢式运输车短轴中顶双胎侧拉门2-3座,依维柯得意 2023款 2.5T V37厢式运输车长轴中顶双胎手动门2-3座,依维柯得意 2023款 2.5T V37厢式运输车长轴中顶双胎侧拉门2-3座,依维柯得意 2023款 2.5T V40厢式运输车长轴中顶双胎手动门2-3座,依维柯得意 2023款 2.5T V40厢式运输车长轴中顶双胎侧拉门2-3座,依维柯得意 2023款 2.5T X45-33单排二类底盘长轴双胎2-3座,依维柯得意 2023款 2.5T XS45-33双排二类底盘长轴双胎6座
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,○,○,●,●,●,●,●,●,●,●,●,●,●,●,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,○,○,●,●,●,●,●,●,●,●,●,●,●,●,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
