Feature,56394,56395,57939,57945,57946,60400,60401,62604,62701,62702,62812,63057,63729,63799,63800,64495,65932,66017,67039,67284,67330,67499,67570,67695,67697,68846,69255,69256,69351
车道偏离预警系统,-,●,-,●,●,-,●,●,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,●,-,●,●,-,●,●,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,●,●,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-
车载KTV,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,-,●,●,●,●,●,●,●,-,-,-,●,-,●,●,●,●,●,-,-,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车型名称,创维EV6 2022款 620 标准版,创维EV6 2022款 620 智能版,创维EV6 2022款 520 出行版,创维EV6 2022款 改款 620 PRO版,创维EV6 2022款 520 PRO版,创维EV6 2022款 520 标准版,创维EV6 2022款 520 智能版,创维EV6 2023款 总裁版,创维EV6 2023款 AIR,创维EV6 2023款 PLUS,创维EV6 2023款 410 精英版,创维EV6 2023款 410 港商汇版,创维EV6 2023款 410 文旅-智达版,创维EV6 2023款 儒商版,创维EV6 2023款 410 智尚版,创维EV6 2023款 超充版,创维EV6 2023款 星耀版,创维EV6 2023款 改款 MAX,创维EV6 2024款 430 云充版,创维EV6 2024款 儒商版,创维EV6 2024款 410 出行版,创维EV6 2024款 520 豪华版,创维EV6 2024款 520 战神版,创维EV6 2024款 改款 520 闪充版,创维EV6 2024款 520 闪放版,创维EV6 2024款 430 云充版+,创维EV6 2024款 430 极行版,创维EV6 2024款 520 神行版,创维EV6 2024款 520 闪耀版
车前雾灯,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,,-,,,-,,,-,-,-,-,-,,-,-,-,,-,,-,-,-,-,-,-,-,-,
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,●,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-
语音连续识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,●,●,●,●,●,●
语音识别控制系统,,,-,,,,,,,,,,,,-,,,,,,-,,,,,,,,
语音助手唤醒词,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
语音分区域唤醒识别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
语音免唤醒词,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行李厢12V电源接口,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,●,-,-,-,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,●,-,●,●,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,●,●,-,●,●,●,●,●,●,●,-,-,-,●,-,●,●,●,●,●,-,-,●,●,●,●,●,●,●
自动泊车入位,-,●,-,●,●,-,●,●,-,-,-,-,-,●,-,-,-,●,-,●,-,-,-,-,-,-,-,-,-
自动头灯,●,●,-,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●,-,-,-,-,●,●,-,-,-,-,●
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,
空载最小离地间隙(mm),177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177
空调温度控制方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
百公里耗电量(kWh/100km),15.9,15.9,15.6,15.9,15.6,15.6,15.6,15.9,15.6,15.9,14.1,14.1,14.9,14.9,14.9,14.5,15.6,15.9,14.5,14.9,14.1,15.6,15.6,14.4,14.4,14.5,14.5,14.4,14.4
疲劳驾驶提示,●,●,-,●,●,-,●,●,●,●,-,-,●,●,-,-,●,●,-,●,-,●,●,●,-,-,-,-,●
电芯品牌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
电能当量燃料消耗量(L/100km),-,-,-,-,1.8,1.8,1.8,-,-,-,1.6,1.6,1.6,1.6,1.6,-,-,-,-,1.6,1.6,1.7,1.7,-,-,-,-,-,1.63
电池预加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电池能量密度(Wh/kg),190.74,190.74,169.21,190.74,169.21,169.21,169.21,-,-,-,127.2,127.2,-,-,-,-,-,-,-,-,127.2,-,-,-,-,-,-,-,-
电池能量(kWh),85.97,85.97,71.98,85.97,71.98,71.98,71.98,85.97,71.98,85.97,51.92,51.92,55.33,55.33,55.33,54.75,71.98,85.97,54.75,55.33,51.92,71.98,71.98,65.71,65.71,54.75,54.75,65.71,65.71
电池类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
电池慢充时间(小时)_y,13,13,11,13,11,11,11,14,12,14,9,9,9,9,9,9,12,14,9,9,9,11,12,12,12,9,9,12,12
电池慢充时间(小时)_x,13,13,11,13,11,11,11,14,12,14,9,9,9,9,9,9,12,14,9,9,9,11,12,12,12,9,9,12,12
电池快充电量范围(%)_y,80,80,80,80,80,80,80,20-70,20-70,20-70,80,80,80,80,80,30-80,20-70,20-70,30-80,80,80,80,20-70,30-80,30-80,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,80,80,80,80,80,80,80,20-70,20-70,20-70,80,80,80,80,80,30-80,20-70,20-70,30-80,80,80,80,20-70,30-80,30-80,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.63,0.6,0.63,0.5,0.5,0.5,0.5,0.5,0.13,0.6,0.63,0.13,0.5,0.5,0.5,0.6,0.13,0.13,0.13,0.13,0.13,0.13
电池快充时间(小时)_x,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.63,0.6,0.63,0.5,0.5,0.5,0.5,0.5,0.13,0.6,0.63,0.13,0.5,0.5,0.5,0.6,0.13,0.13,0.13,0.13,0.13,0.13
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机总马力(Ps),204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,231,204,204,231,204,204,204,204,340,340,231,231,340,340
电动机总扭矩(N·m),320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,310,320,320,310,320,320,320,320,340,340,310,310,340,340
电动机总功率(kW),150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,170,150,150,170,150,150,150,150,250,250,170,170,250,250
电动机(Ps),204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,231,204,204,231,204,204,204,204,340,340,231,231,340,340
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,●,-,●,●,-,●,●,-,-,●,●,●,●,-,-,-,●,-,●,-,●,-,●,-,●,-,-,●
电动后备厢,-,●,-,●,●,-,●,●,-,-,●,●,●,●,-,-,-,●,-,●,-,●,-,●,-,●,-,-,●
牵引力控制(ASR/TCS/TRC等),●,●,-,●,●,●,●,●,●,●,-,-,-,●,-,●,●,●,●,●,-,-,●,●,●,●,●,●,●
热泵空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,●,-,-,-,-,●,●,●,●,●,●
满载最小离地间隙(mm),159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,-,,,,,,,,-,-,,,,,,,,,-,,,,,,,,
最高车速(km/h),150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,170,150,150,150,150,150,150,150,150,150,150,150,150,150
最大爬坡角度(°),16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7
最大爬坡度(%),30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
最大满载质量(kg),2305,2305,2295,2305,2295,2295,2295,2305,2295,2305,2245,2245,2245,2245,2245,2305,2295,2305,2205,2245,2245,2295,2295,2235,2235,2205,2205,2235,2235
最大扭矩(N·m),320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,310,320,320,310,320,320,320,320,340,340,310,310,340,340
最大功率(kW),150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,170,150,150,170,150,150,150,150,250,250,170,170,250,250
无钥匙进入功能,,,-,,,,,,,,-,-,-,-,-,,,,-,-,-,-,-,,-,-,-,-,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整车质保,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
整备质量(kg),1930,1930,1920,1930,1920,1920,1920,1930,1920,1930,1820,1820,1820,1820,1820,1830,1920,1930,1830,1820,1820,1920,1920,1860,1860,1830,1830,1860,1860
换挡形式,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,,-,,,-,,,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机APP远程功能,,,-,,,,,,,,,,,,-,,,,,,-,,,,,,,,
感应雨刷功能,,,-,,,,,,,,-,-,-,-,-,,,,-,-,-,-,,,-,-,-,-,
感应后备厢,-,●,-,●,●,-,●,●,-,-,-,-,-,-,-,-,-,●,-,-,-,●,-,●,-,●,-,-,●
快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
座椅材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应用商店,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-,●,●,●,●,●,●
并线辅助,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-
巡航系统,,,-,,,,,,,,-,-,-,-,-,-,,,-,-,-,-,,,-,-,-,-,
导航路况信息显示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,○,●,●,●,●,●,●,●,●,●,●,●,●,●
对外直流放电功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,-,-,-,100
对外放电,-,●,-,●,●,-,●,●,○,○,-,-,-,-,-,-,○,●,●,-,-,-,○,●,●,●,●,●,●
宽度(mm),1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908,1908
官方0-100km/h加速(s),8.2,7.9,7.9,8.2,7.9,7.9,7.9,8.2,7.9,8.2,7.7,7.7,7.7,7.7,7.7,9.6,7.9,8.2,7.9,7.7,7.7,7.9,7.9,7.6,7.6,7.9,7.9,7.6,7.6
安全带未系提醒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天窗类型,,,-,,,,,,-,-,-,-,-,-,-,-,,,-,-,-,-,,,-,-,-,-,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,-,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
备胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地图品牌,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625
后轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后排侧隐私玻璃,●,●,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141,467-1141
后制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),20.78万,23.38万,18.58万,28.08万,26.08万,18.78万,21.38万,32.98万,15.68万,18.28万,20.98万,23.88万,23.98万,25.98万,22.88万,21.98万,24.88万,23.88万,23.68万,25.98万,16.28万,30.68万,30.88万,16.98万,15.98万,23.98万,13.98万,16.28万,25.98万
厂商,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车,创维汽车
卫星导航系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,○,●,●,●,●,●,●,●,●,●,●,●,●,●
助力类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
副驾驶位后排可调节按钮,●,●,-,●,●,●,●,●,-,-,●,●,●,●,●,-,-,●,-,●,-,●,●,-,-,●,-,-,-
副座椅调节方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前轮距(mm),1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625
前轮胎规格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前电动机最大扭矩(N·m),320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,310,320,320,310,320,320,320,320,340,340,310,310,340,340
前电动机最大功率(kW),150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,170,150,150,170,150,150,150,150,250,250,170,170,250,250
前方碰撞预警,-,●,-,●,●,-,●,●,-,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-
前排座椅功能,,,-,,,,,,-,-,,,,,-,-,-,,-,,-,,-,-,-,,-,-,-
前悬架类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,-,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,-,-,-,-,-,-,-,-,前●&nbsp;/&nbsp;后●,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-,-,-,-,-,-,-,-,前●&nbsp;/&nbsp;后-,-,-,-,-,-,-,-,-,-,-,-
