Feature,61838,67355
副座椅调节方式,,
前轮距(mm),1636,1636
前轮胎规格,,
前电动机最大扭矩(N·m),-,-
前电动机最大功率(kW),-,-
前方碰撞预警,●,●
前方感知摄像头,,
前排座椅功能,,
前悬架类型,,
前制动器类型,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●
制动力分配(EBD/CBC等),●,●
内后视镜功能,,
全液晶仪表盘,●,●
倒车车侧预警系统,●,●
供油方式,直喷,直喷
主座椅调节方式,,
主动闭合式进气格栅,●,●
主动刹车/主动安全系统,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,
中控屏幕尺寸,,
上市时间,2023.03,-
上坡辅助,●,●
三电系统质保,,
Wi-Fi热点,●,●
WLTC综合油耗(L/100km),3.1,3.1
WLTC纯电续航里程(km)_y,52,52
WLTC纯电续航里程(km)_x,52,52
USB/Type-C接口数量,,
OTA升级,-,-
LED日间行车灯,●,●
ISOFIX儿童座椅接口,●,●
ETC装置,○,○
ABS防抱死,●,●
4G/5G网络,,
