Feature,58225,58226,58227,60057,60058,60060,60061,60062,61495,62346,62347,62348,62349,62350,62351,62352,62353,65960
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,-,●,●,●,●,-,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,
车型名称,型格 2023款 2.0L e:HEV 锐·科技版,型格 2023款 2.0L e:HEV 锐·豪华版,型格 2023款 2.0L e:HEV 锐·尊享版,型格 2023款 HATCHBACK 240TURBO CVT领潮版,型格 2023款 HATCHBACK 240TURBO 手动专属版,型格 2023款 HATCHBACK 240TURBO CVT幻夜·豪华版,型格 2023款 HATCHBACK 240TURBO CVT幻夜·尊享版,型格 2023款 HATCHBACK 2.0L e:HEV 锐·豪华版,型格 2023款 HATCHBACK 2.0L e:HEV 锐·领潮版,型格 2023款 240TURBO 手动专属版,型格 2023款 240TURBO CVT领先版,型格 2023款 240TURBO CVT科技版,型格 2023款 240TURBO CVT幻夜·科技版,型格 2023款 240TURBO CVT智享版,型格 2023款 240TURBO CVT豪华版,型格 2023款 240TURBO CVT幻夜·豪华版,型格 2023款 240TURBO CVT尊享版,型格 2024款 240TURBO CVT無限MUGEN版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,,,-,-,,,,-,-,-,-,-,,,,,-
车内化妆镜,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,-,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,,,,,-,,,,,-,,,,,,,,
被动行人保护,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,●,●,-,●,●,-,-,-,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,,,,,,,,,,,,,,,,,,
能量回收系统,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型_y,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
系统综合功率(kW),149,149,149,-,-,-,-,149,149,-,-,-,-,-,-,-,-,-
系统综合功率(Ps),203,203,203,-,-,-,-,203,203,-,-,-,-,-,-,-,-,-
简称,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速,6挡手动,CVT无级变速,CVT无级变速,E-CVT无级变速,E-CVT无级变速,6挡手动,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,,,,
离去角(°),19,19,19,21,21,21,21,21,21,19,19,19,19,19,19,19,19,19
疲劳驾驶提示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电池类型,,,,-,-,-,-,,,-,-,-,-,-,-,-,-,-
电机布局,前置,前置,前置,-,-,-,-,前置,前置,-,-,-,-,-,-,-,-,-
电动机总马力(Ps),184,184,184,-,-,-,-,184,184,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),315,315,315,-,-,-,-,315,315,-,-,-,-,-,-,-,-,-
电动机总功率(kW),135,135,135,-,-,-,-,135,135,-,-,-,-,-,-,-,-,-
电动机(Ps),184,184,184,-,-,-,-,184,184,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,,,,,,,
油箱容积(L),40,40,40,47,47,47,47,40,40,47,47,47,47,47,47,47,47,47
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),180,180,180,200,208,200,200,180,180,208,200,200,200,200,200,200,200,200
最小转弯半径(m),5.35,5.65,5.65,5.35,5.35,5.65,5.65,5.65,5.35,-,-,-,-,-,-,5.65,-,5.35
最大马力(Ps),143,143,143,182,182,182,182,143,143,182,182,182,182,182,182,182,182,182
最大满载质量(kg),1935,1935,1935,1840,1840,1840,1840,1935,1935,1740,1825,1825,1825,1825,1825,1825,1825,1825
最大扭矩转速(rpm),4500,4500,4500,1700-4500,1700-4500,1700-4500,1700-4500,4500,4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500,1700-4500
最大扭矩(N·m)_y,182,182,182,240,240,240,240,182,182,240,240,240,240,240,240,240,240,240
最大扭矩(N·m)_x,-,-,-,240,240,240,240,-,-,240,240,240,240,240,240,240,240,240
最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
最大功率(kW)_y,105,105,105,134,134,134,134,105,105,134,134,134,134,134,134,134,134,134
最大功率(kW)_x,149,149,149,134,134,134,134,149,149,134,134,134,134,134,134,134,134,134
最大净功率(kW),105,105,105,134,134,134,134,105,105,134,134,134,134,134,134,134,134,134
无钥匙进入功能,,,,,-,,,,,-,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,,,,
整车质保,,,,,,,,,,,,,,,,,,
整备质量(kg),1473,1488,1507,1391,1350,1412,1433,1487,1475,1312,1363,1363,1375,1384,1384,1390,1412,1378
接近角(°),14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
排量(mL),1993,1993,1993,1498,1498,1498,1498,1993,1993,1498,1498,1498,1498,1498,1498,1498,1498,1498
换挡形式,,,,,,,,,,,,,,,,,,
挡位个数,无级变速,无级变速,无级变速,无级变速,6,无级变速,无级变速,无级变速,无级变速,6,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速,无级变速
扬声器数量,,,,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,,-,-,-,,-,-,-,-,-,-,-,-,-,,-
手机无线充电功能,-,,,-,-,-,,,-,-,-,-,-,-,-,-,,-
手机互联/映射,,,,,,,,,,,,,,,,,,
手机APP远程功能,,,,,-,,,,,-,,,,,,,,
感应雨刷功能,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,,-
座椅材质,,,,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,,,,
并线辅助,-,●,●,-,-,●,●,●,-,-,-,●,-,-,●,-,●,-
巡航系统,,,,,-,,,,,-,,,,,,,,
导航路况信息显示,●,●,●,●,-,●,●,●,●,-,●,●,●,●,●,●,●,●
宽度(mm),1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802,1802
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,,,,
天窗类型,,,,,,,,,,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观套件,-,,,-,-,,,-,-,-,-,-,,-,-,,-,
外后视镜功能,,,,,,,,,,,,,,,,,,
备胎规格,,,,,,,,,,,,,,,,,,
后雨刷,-,-,-,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-
后轮距(mm),1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575
后轮胎规格,,,,,,,,,,,,,,,,,,
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●,-
后排座椅放倒形式,-,,,,,,,,,-,-,-,-,,,,,-
后悬架类型,,,,,,,,,,,,,,,,,,
后座出风口,●,●,●,-,-,●,●,●,-,-,●,●,●,●,●,●,●,●
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,,,,,,,,,,,,,,,,,,
可变转向比,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),无级变速箱(CVT),手动变速箱(MT),无级变速箱(CVT),无级变速箱(CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),手动变速箱(MT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT)
变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速,6挡手动,CVT无级变速,CVT无级变速,E-CVT无级变速,E-CVT无级变速,6挡手动,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速,CVT无级变速
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机特有技术,阿特金森循环,阿特金森循环,阿特金森循环,VTEC,VTEC,VTEC,VTEC,阿特金森循环,阿特金森循环,VTEC,VTEC,VTEC,VTEC,VTEC,VTEC,VTEC,VTEC,VTEC
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机型号,LFB17,LFB17,LFB17,L15C9,L15C9,L15C9,L15C9,LFB17,LFB17,L15CN/L15C9,L15CN/L15C9,L15CN/L15C9,L15CN/L15C9,L15CN/L15C9,L15CN/L15C9,L15CN/L15C9,L15CN/L15C9,L15CN/L15C9
发动机启停技术,-,-,-,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●
发动机,2.0L 143马力 L4,2.0L 143马力 L4,2.0L 143马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,2.0L 143马力 L4,2.0L 143马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4,1.5T 182马力 L4
压缩比,13.9,13.9,13.9,10.3,10.3,10.3,10.3,13.9,13.9,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
厂商指导价(元),16.39万,17.79万,18.69万,14.89万,13.99万,15.89万,17.19万,18.29万,16.99万,12.99万,14.19万,14.29万,14.99万,15.19万,15.29万,15.79万,16.69万,15.79万
厂商,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田,广汽本田
卫星导航系统,●,●,●,●,-,●,●,●,●,-,●,●,●,●,●,●,●,●
助力类型,,,,,,,,,,,,,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,,,,,,
前轮距(mm),1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547
前轮胎规格,,,,,,,,,,,,,,,,,,
前电动机最大扭矩(N·m),315,315,315,-,-,-,-,315,315,-,-,-,-,-,-,-,-,-
前电动机最大功率(kW),135,135,135,-,-,-,-,135,135,-,-,-,-,-,-,-,-,-
前方碰撞预警,●,●,●,●,-,●,●,●,●,-,●,●,●,●,●,●,●,●
前排座椅功能,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,,,,,,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,,,,,,
前/后驻车雷达,-,-,前-&nbsp;/&nbsp;后●,-,-,-,前-&nbsp;/&nbsp;后●,-,-,-,-,-,-,-,-,-,前-&nbsp;/&nbsp;后●,-
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
内后视镜功能,,,,,,,,,,,,,,,,,,
全液晶仪表盘,●,●,●,●,-,●,●,●,●,-,●,●,●,●,●,●,●,●
倒车车侧预警系统,-,●,●,-,-,-,-,-,-,-,-,●,-,-,●,-,●,-
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
低速行车警告,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主座椅调节方式,,,,,,,,,,,,,,,,,,
主动降噪,●,●,●,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-
主动刹车/主动安全系统,●,●,●,●,-,●,●,●,●,-,●,●,●,●,●,●,●,●
主/副驾驶座电动调节,-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,-,-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,-,-,-,-,-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,,,,,,,,,,,,,
中控屏幕尺寸,,,,,,,,,,,,,,,,,,
上市时间,2022.12,2022.12,2022.12,2023.02,2023.02,2023.02,2023.02,2023.02,2023.02,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2024.03
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
Wi-Fi热点,●,●,●,●,-,●,●,●,●,-,●,●,●,●,●,●,●,●
WLTC综合油耗(L/100km),4.39,4.47,4.51,6.12,5.91,6.28,6.28,4.67,4.61,5.67,6.01,6.01,6.28,6.28,6.28,6.36,6.36,6.28
USB/Type-C接口数量,,,,,,,,,,,,,,,,,,
OTA升级,●,●,●,●,-,●,●,●,●,-,●,●,●,●,●,●,●,●
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
ETC装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
4G/5G网络,,,,,-,,,,,-,,,,,,,,
