Feature,1009229,1009230,1009231,1009232,1011332,1011333,1011334,1011335,1011336,1011337,1011338,1011339,1011686
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,长安星卡L系 2019款 1.5L L1货车标准型加宽单排国VI,长安星卡L系 2019款 1.5L L1货车标准型加宽双排国VI,长安星卡L系 2019款 1.5L L1货车基本型加宽单排国VI,长安星卡L系 2019款 1.5L L1货车基本型加宽双排国VI,长安星卡L系 2021款 1.6L L2货车标准型单排DAM16KR,长安星卡L系 2021款 1.6L L2货车标准型双排DAM16KR,长安星卡L系 2021款 1.6L L2货车基本型单排DAM16KR,长安星卡L系 2021款 1.6L L2货车基本型单排仓栅DAM16KR,长安星卡L系 2021款 1.6L L2货车基本型单排厢货DAM16KR,长安星卡L系 2021款 1.6L L2货车基本型双排DAM16KR,长安星卡L系 2021款 1.6L L2货车基本型双排仓栅DAM16KR,长安星卡L系 2021款 1.6L L2货车基本型双排厢货DAM16KR,长安星卡L系 2021款 1.6L L2货车标准型双排厢货DAM16KR
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,-,-,●,●,-,○,○,-,○,○,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),3170x1610x370,2660x1610x370,3170x1610x370,2660x1610x370,3210x1630x370,2520x1630x375,3210x1630x370,3210x1630x375,3220x1650x1500,2520x1630x375,2520x1630x370,2585x1675x1665,2585x1675x1665
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,未知,未知,未知,未知,未知,未知,未知,未知,未知
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,-,-,,,-,,,-,,,
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),40,40,40,40,-,-,-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),110,110,110,110,-,-,-,-,-,-,-,-,-
最大马力(Ps),116,116,116,116,122,122,122,122,122,122,122,122,122
最大载重质量(kg),-,-,-,-,1495,1190,1495,1450,1400,1190,1050,1100,1100
最大满载质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800
最大扭矩(N·m)_y,150,150,150,150,158,158,158,158,158,158,158,158,158
最大扭矩(N·m)_x,150,150,150,150,158,158,158,158,158,158,158,158,158
最大功率转速(rpm),6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
最大功率(kW)_y,85,85,85,85,90,90,90,90,90,90,90,90,90
最大功率(kW)_x,85,85,85,85,90,90,90,90,90,90,90,90,90
最大净功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),1210,1260,1210,1260,1300,1375,1300,1380,1435,1375,1435,1510,1510
排量(mL),1498,1498,1498,1498,-,-,-,-,-,-,-,-,-
挡位个数,5,5,5,5,5,5,5,5,5,5,5,5,5
扬声器数量,,,-,-,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,-,-,-,-,-,-,-,-,-,-,-,-,-
导航路况信息显示,-,-,-,-,-,-,-,-,-,-,-,-,-
宽度(mm),1680,1680,1680,1680,1700,1700,1700,1710,1780,1700,1700,1760,1760
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,-,-,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,,,,
多功能方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜功能,-,-,-,-,-,-,-,-,-,-,-,-,-
备胎规格,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1360,1360,1360,1360,-,-,-,-,-,-,-,-,-
后轮胎规格,,,,,,,,,,,,,
后排车门开启方式,,,,,,,,,,,,,
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,,,,,,,,,,,,,
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,,,,,,,,,,,,,
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
发动机型号,-,-,-,-,DAM16KR,DAM16KR,DAM16KR,DAM16KR,DAM16KR,DAM16KR,DAM16KR,DAM16KR,DAM16KR
发动机,1.5L 116马力 L4,1.5L 116马力 L4,1.5L 116马力 L4,1.5L 116马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4,1.6L 122马力 L4
厂商指导价(元),4.69万,5.04万,4.46万,4.81万,4.94万,5.24万,4.69万,4.82万,5.09万,4.99万,5.12万,5.49万,5.74万
厂商,长安凯程,长安凯程,长安凯程,长安凯程,长安凯程,长安凯程,长安凯程,长安凯程,长安凯程,长安凯程,长安凯程,长安凯程,长安凯程
卫星导航系统,-,-,-,-,-,-,-,-,-,-,-,-,-
助力类型,,,,,,,,,,,,,
副座椅调节方式,-,,-,,-,,-,-,-,,,,
前轮距(mm),1370,1370,1370,1370,-,-,-,-,-,-,-,-,-
前轮胎规格,,,,,,,,,,,,,
前排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,,,,,,,,,,,,,
前制动器类型,,,,,,,,,,,,,
前/后驻车雷达,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-,-,-,-,-,-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-,-,-,-,-,-,-
前/后中央扶手,-,-,-,-,-,-,-,-,-,-,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-,-,-,-,-,-
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●
内后视镜功能,-,-,-,-,-,-,-,-,-,-,-,-,-
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
主座椅调节方式,,,,,,,,,,,,,
主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座安全气囊,-,-,-,-,-,-,-,-,-,-,-,-,-
中控彩色屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-
中控屏幕尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-
上市时间,2020.03,2020.03,2020.03,2020.03,2021.04,2021.04,2021.04,2021.04,2021.04,2021.04,2021.04,2021.04,2021.05
USB/Type-C接口数量,-,-,-,-,-,-,-,-,-,-,-,-,-
OTA升级,-,-,-,-,-,-,-,-,-,-,-,-,-
NEDC综合油耗(L/100km),7.1,7.1,7.1,7.1,7.1,7.5,7.1,7.5,7.9,7.5,7.9,7.9,7.9
LED日间行车灯,-,-,-,-,-,-,-,-,-,-,-,-,-
ISOFIX儿童座椅接口,-,-,-,-,-,-,-,-,-,-,-,-,-
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●
